Date,Open,High,Low,Close,Volume
7/15/2021,34924.81,34990.41,34762.87,34987.02,320450000
7/14/2021,34920.83,35069.18,34826.87,34933.23,344340000
7/13/2021,34959.96,35018.79,34876.89,34888.79,322430000
7/12/2021,34836.75,35014.9,34730.15,34996.18,294800000
7/9/2021,34457.51,34893.72,34457.51,34870.16,301750000
7/8/2021,34569.01,34569.01,34145.59,34421.93,335690000
7/7/2021,34604.17,34708.78,34435.59,34681.79,302700000
7/6/2021,34790.16,34814.2,34358.42,34577.37,348430000
7/2/2021,34642.42,34821.93,34613.49,34786.35,301860000
7/1/2021,34507.32,34640.28,34498.85,34633.53,268280000
6/30/2021,34290.74,34553.16,34245.48,34502.51,295560000
6/29/2021,34338.89,34469.83,34266.83,34292.29,282360000
6/28/2021,34428.1,34449.65,34186.13,34283.27,280280000
6/25/2021,34328.1,34501.02,34314.8,34433.84,432550000
6/24/2021,33933.91,34233.02,33933.91,34196.82,275870000
6/23/2021,33948.54,34009.4,33869.83,33874.24,255280000
6/22/2021,33872.56,34040.7,33751.06,33945.58,284130000
6/21/2021,33312.07,33908.09,33312.07,33876.97,317260000
6/18/2021,33622.7,33622.7,33271.93,33290.08,563920000
6/17/2021,34014.38,34091.79,33626.61,33823.45,354690000
6/16/2021,34308.48,34333.25,33917.11,34033.67,347150000
6/15/2021,34397.1,34420.38,34199.16,34299.33,272430000
6/14/2021,34472.52,34472.52,34211.54,34393.75,295530000
6/11/2021,34499.81,34618.09,34328.65,34479.6,260840000
6/10/2021,34502.51,34737.79,34447.25,34466.24,309310000
6/9/2021,34626.16,34654.67,34439.37,34447.14,245100000
6/8/2021,34645.84,34665.38,34452.94,34599.82,289440000
6/7/2021,34766.2,34820.91,34574.51,34630.24,259120000
6/4/2021,34618.69,34772.12,34618.69,34756.39,270050000
6/3/2021,34550.31,34667.41,34334.41,34577.04,297380000
6/2/2021,34614.62,34706.65,34545.96,34600.38,263810000
6/1/2021,34584.19,34849.32,34542.87,34575.31,287700000
5/28/2021,34558.5,34631.11,34520.09,34529.45,290850000
5/27/2021,34432.47,34608.82,34389.24,34464.64,520630000
5/26/2021,34336.34,34409.59,34271.44,34323.05,258780000
5/25/2021,34428.66,34511.35,34266.03,34312.46,285760000
5/24/2021,34253.87,34472.51,34253.87,34393.98,251010000
5/21/2021,34121.91,34415.48,34121.91,34207.84,306360000
